"","Var1","Freq"
"1507","To Kill a Mockingbird (1962)",219
"1508","To Live (Huozhe) (1994)",14
"1509","To Wong Foo, Thanks for Everything! Julie Newmar (1995)",57
"1510","Tokyo Fist (1995)",2
"1511","Tom & Viv (1994)",9
"1512","Tom and Huck (1995)",24
"1513","Tombstone (1993)",108
"1514","Tommy Boy (1995)",66
"1515","Tomorrow Never Dies (1997)",540
"1516","Top Gun (1986)",440
"1517","Top Hat (1935)",63
"1518","Total Eclipse (1995)",4
"1519","Touch (1997)",9
"1520","Touch of Evil (1958)",102
"1521","Tough and Deadly (1995)",6
"1522","Touki Bouki (Journey of the Hyena) (1973)",1
"1523","Toy Story (1995)",1356
"1524","Trainspotting (1996)",250
"1525","Transformers: The Movie, The (1986)",192
"1526","Traveller (1997)",13
"1527","Treasure of the Sierra Madre, The (1948)",80
"1528","Trees Lounge (1996)",50
"1529","Trial and Error (1997)",46
"1530","Trial by Jury (1994)",7
"1531","Trigger Effect, The (1996)",70
"1532","True Crime (1995)",18
"1533","True Lies (1994)",832
"1534","True Romance (1993)",312
"1535","Truman Show, The (1998)",11
"1536","Trust (1990)",38
"1537","Truth About Cats & Dogs, The (1996)",544
"1538","Truth or Consequences, N.M. (1997)",9
"1539","Turbo: A Power Rangers Movie (1997)",15
"1540","Turbulence (1997)",23
"1541","Turning, The (1992)",2
"1542","Twelfth Night (1996)",87
"1543","Twelve Monkeys (1995)",784
"1544","Twilight (1998)",8
"1545","Twin Town (1997)",12
"1546","Twisted (1996)",12
"1547","Twister (1996)",879
"1548","Two Bits (1995)",5
"1549","Two Deaths (1995)",4
"1550","Two Friends (1986) ",1
"1551","Two if by Sea (1996)",50
"1552","Two Much (1996)",14
"1553","Two or Three Things I Know About Her (1966)",4
"1554","U Turn (1997)",192
"1555","U.S. Marshalls (1998)",18
"1556","Ulee's Gold (1997)",164
"1557","Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",42
"1558","Unbearable Lightness of Being, The (1988)",92
"1559","Under Siege (1992)",124
"1560","Under Siege 2: Dark Territory (1995)",48
"1561","Underground (1995)",5
"1562","Underneath, The (1995)",8
"1563","Underworld (1997)",4
"1564","Unforgettable (1996)",68
"1565","Unforgiven (1992)",182
"1566","Unhook the Stars (1996)",10
"1567","Unstrung Heroes (1995)",44
"1568","Until the End of the World (Bis ans Ende der Welt) (1991)",46
"1569","Unzipped (1995)",11
"1570","Up Close and Personal (1996)",170
"1571","Up in Smoke (1978)",47
"1572","Usual Suspects, The (1995)",534
"1573","Vampire in Brooklyn (1995)",24
"1574","Van, The (1996)",12
"1575","Vanya on 42nd Street (1994)",27
"1576","Vegas Vacation (1997)",75
"1577","Venice/Venice (1992)",2
"1578","Vermin (1998)",2
"1579","Vermont Is For Lovers (1992)",2
"1580","Vertigo (1958)",358
"1581","Very Brady Sequel, A (1996)",93
"1582","Very Natural Thing, A (1974)",1
"1583","Victor/Victoria (1982)",154
"1584","Vie est belle, La (Life is Rosey) (1987)",2
"1585","Village of the Damned (1995)",44
"1586","Virtuosity (1995)",76
"1587","Visitors, The (Visiteurs, Les) (1993)",4
"1588","Volcano (1997)",438
"1589","Wag the Dog (1997)",274
"1590","Waiting for Guffman (1996)",47
"1591","Waiting to Exhale (1995)",32
"1592","Walk in the Clouds, A (1995)",126
"1593","Walk in the Sun, A (1945)",1
"1594","Walkabout (1971)",26
"1595","Walking and Talking (1996)",8
"1596","Walking Dead, The (1995)",8
"1597","Wallace & Gromit: The Best of Aardman Animation (1996)",67
"1598","War at Home, The (1996)",1
"1599","War Room, The (1993)",9
"1600","War, The (1994)",30
"1601","Warriors of Virtue (1997)",40
"1602","Washington Square (1997)",34
"1603","Waterworld (1995)",204
"1604","Wedding Bell Blues (1996)",1
"1605","Wedding Gift, The (1994)",3
"1606","Wedding Singer, The (1998)",144
"1607","Weekend at Bernie's (1989)",60
"1608","Welcome To Sarajevo (1997)",44
"1609","Welcome to the Dollhouse (1995)",224
"1610","Wend Kuuni (God's Gift) (1982)",1
"1611","Wes Craven's New Nightmare (1994)",35
"1612","What Happened Was... (1994)",24
"1613","What's Eating Gilbert Grape (1993)",230
"1614","What's Love Got to Do with It (1993)",45
"1615","When a Man Loves a Woman (1994)",39
"1616","When Harry Met Sally... (1989)",580
"1617","When Night Is Falling (1995)",10
"1618","When the Cats Away (Chacun cherche son chat) (1996)",32
"1619","When We Were Kings (1996)",44
"1620","While You Were Sleeping (1995)",324
"1621","White Balloon, The (1995)",10
"1622","White Man's Burden (1995)",10
"1623","White Squall (1996)",170
"1624","Whole Wide World, The (1996)",6
"1625","Widows' Peak (1994)",19
"1626","Wife, The (1995)",2
"1627","Wild America (1997)",18
"1628","Wild Bill (1995)",12
"1629","Wild Bunch, The (1969)",43
"1630","Wild Reeds (1994)",14
"1631","Wild Things (1998)",44
"1632","William Shakespeare's Romeo and Juliet (1996)",212
"1633","Willy Wonka and the Chocolate Factory (1971)",978
"1634","Window to Paris (1994)",1
"1635","Wings of Courage (1995)",2
"1636","Wings of Desire (1987)",171
"1637","Wings of the Dove, The (1997)",225
"1638","Winnie the Pooh and the Blustery Day (1968)",150
"1639","Winter Guest, The (1997)",9
"1640","Wishmaster (1997)",27
"1641","With Honors (1994)",92
"1642","Withnail and I (1987)",13
"1643","Witness (1985)",3
"1644","Wizard of Oz, The (1939)",984
"1645","Wolf (1994)",134
"1646","Woman in Question, The (1950)",1
"1647","Women, The (1939)",15
"1648","Wonderful, Horrible Life of Leni Riefenstahl, The (1993)",10
"1649","Wonderland (1997)",10
"1650","Wooden Man's Bride, The (Wu Kui) (1994)",3
"1651","World of Apu, The (Apur Sansar) (1959)",6
"1652","Wrong Trousers, The (1993)",236
"1653","Wyatt Earp (1994)",50
"1654","Yankee Zulu (1994)",2
"1655","Year of the Horse (1997)",7
"1656","You So Crazy (1994)",1
"1657","Young Frankenstein (1974)",400
"1658","Young Guns (1988)",303
"1659","Young Guns II (1990)",132
"1660","Young Poisoner's Handbook, The (1995)",41
"1661","Zeus and Roxanne (1997)",6
"1662","Á köldum klaka (Cold Fever) (1994)",2
