"","movienames","rating","wrating","mrating","wmedian","mmedian","times"
"695","Hoodlum (1997)",2.93150684931507,2.89090909090909,3.05555555555556,3,3,219
"696","Hoop Dreams (1994)",4.09401709401709,4.04166666666667,4.33333333333333,5,4,117
"697","Horse Whisperer, The (1998)",2.71428571428571,4,1.75,1,4,7
"698","Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",4.11111111111111,4,4.33333333333333,4,4,9
"699","Hostile Intentions (1994)",1,NA,1,NA,NA,3
"700","Hot Shots! Part Deux (1993)",2.76470588235294,2.77777777777778,2.71428571428571,3,3,204
"701","Hotel de Love (1996)",3.25,3,4,4,NA,8
"702","Hour of the Pig, The (1993)",3.57142857142857,3.57142857142857,NA,NA,4,28
"703","House Arrest (1996)",2.52,2.47058823529412,2.625,3,3,25
"704","House of the Spirits, The (1993)",3.04166666666667,3.23076923076923,2.81818181818182,3,3,48
"705","House of Yes, The (1997)",3,3.09090909090909,2.85714285714286,2,4,54
"706","House Party 3 (1994)",2,2.14285714285714,1.5,2,3,9
"707","Houseguest (1994)",2.83333333333333,2.64705882352941,3.28571428571429,3,3,24
"708","How to Be a Player (1997)",2.76190476190476,2.73333333333333,2.83333333333333,NA,2,21
"709","How to Make an American Quilt (1995)",3.33802816901408,3.26829268292683,3.43333333333333,3,3,142
"710","Howling, The (1981)",3.02631578947368,2.90625,3.66666666666667,4,3,76
"711","Hudsucker Proxy, The (1994)",3.55454545454545,3.59770114942529,3.39130434782609,3,3,220
"712","Hugo Pool (1997)",3.28571428571429,4,2.33333333333333,NA,1,7
"713","Hunchback of Notre Dame, The (1996)",3.37795275590551,3.34782608695652,3.45714285714286,3.5,3,381
"714","Hungarian Fairy Tale, A (1987)",1,NA,1,NA,NA,1
"715","Hunt for Red October, The (1990)",3.86343612334802,3.82702702702703,4.02380952380952,4,4,454
"716","Hunted, The (1995)",2,2.5,1,NA,NA,3
"717","Hurricane Streets (1998)",2.7,2.875,2,3,4,10
"718","Hush (1998)",2,2,NA,NA,NA,1
"719","I Can't Sleep (J'ai pas sommeil) (1994)",2.66666666666667,2.5,3,3,NA,6
"720","I Don't Want to Talk About It (De eso no se habla) (1993)",4,4,NA,NA,4,1
"721","I Know What You Did Last Summer (1997)",3.06,3,3.1875,3.5,3,300
"722","I Like It Like That (1994)",2.33333333333333,3,2,3,NA,9
"723","I Love Trouble (1994)",2.5,2.75,1.5,NA,3,20
"724","I Shot Andy Warhol (1996)",3.37837837837838,3.37931034482759,3.375,3,4,37
"725","I, Worst of All (Yo, la peor de todas) (1990)",1,NA,1,NA,NA,1
"726","I.Q. (1994)",3.32098765432099,3.26785714285714,3.44,4,3,162
"727","I'll Do Anything (1994)",2.6,2.5,2.75,4,1.5,20
"728","I'm Not Rappaport (1996)",3,2.69230769230769,4,4,3,17
"729","Ice Storm, The (1997)",3.59803921568627,3.64102564102564,3.45833333333333,4,4,102
"730","If Lucy Fell (1996)",2.75862068965517,2.88235294117647,2.58333333333333,1.5,3,58
"731","Ill Gotten Gains (1997)",2.33333333333333,3,1,NA,3,3
"732","Immortal Beloved (1994)",3.46031746031746,3.31578947368421,3.68,4,3,126
"733","In & Out (1997)",3.30434782608696,3.16774193548387,3.58666666666667,4,3,230
"734","In Love and War (1996)",3.42857142857143,3,3.85714285714286,3,3.5,56
"735","In the Army Now (1994)",2.27777777777778,2.2,2.66666666666667,NA,3,36
"736","In the Bleak Midwinter (1995)",3.6875,3.69230769230769,3.66666666666667,5,4,16
"737","In the Company of Men (1997)",3.71212121212121,3.74,3.625,4,4,66
"738","In the Line of Duty 2 (1987)",2.75,2,3.5,NA,1,4
"739","In the Line of Fire (1993)",3.79289940828402,3.75373134328358,3.94285714285714,4,4,338
"740","In the Mouth of Madness (1995)",2.88461538461538,2.8695652173913,3,2,3,52
"741","In the Name of the Father (1993)",3.91176470588235,3.86585365853659,4.1,4,4,102
"742","In the Realm of the Senses (Ai no corrida) (1976)",2,2,2,2,2,9
"743","Incognito (1997)",3.5,4.33333333333333,2.25,NA,3,20
"744","Independence Day (ID4) (1996)",3.43822843822844,3.35603715170279,3.68867924528302,4,4,1287
"745","Indian in the Cupboard, The (1995)",2.82051282051282,2.79310344827586,2.9,3,3,117
"746","Indian Summer (1996)",3.25,3.36363636363636,3.11111111111111,3,5,40
"747","Indiana Jones and the Last Crusade (1989)",3.93051359516616,3.93280632411067,3.92307692307692,4,4,662
"748","Infinity (1996)",2.66666666666667,2.75,2.5,2.5,4.5,6
"749","Inkwell, The (1994)",3.33333333333333,3.5,3,3,3.5,6
"750","Innocent Sleep, The (1995)",2,1,3,NA,NA,2
"751","Innocents, The (1961)",4.25,4.25,NA,NA,4,4
"752","Inspector General, The (1949)",3.72222222222222,3.92857142857143,3,4,4,18
"753","Interview with the Vampire (1994)",3.18248175182482,3.1530612244898,3.25641025641026,3,3,274
"754","Intimate Relations (1996)",3,3,3,NA,3,2
"755","Inventing the Abbotts (1997)",3.1304347826087,3.21428571428571,3,4,3,46
"756","Invitation, The (Zaproszenie) (1986)",1,NA,1,NA,NA,1
"757","Island of Dr. Moreau, The (1996)",2.15789473684211,2.21428571428571,2,1,3,114
"758","It Could Happen to You (1994)",3.65217391304348,3.42857142857143,4,4,3,92
"759","It Happened One Night (1934)",4.01234567901235,3.98245614035088,4.08333333333333,4,4,81
"760","It Takes Two (1995)",2.66666666666667,NA,2.66666666666667,3,NA,3
"761","It's a Wonderful Life (1946)",4.12121212121212,4.06395348837209,4.28813559322034,5,4,231
"762","It's My Party (1995)",3.28571428571429,3.07692307692308,3.625,3.5,3.5,21
"763","Jack (1996)",3.14285714285714,2.95555555555556,3.48,4,3,140
"764","Jack and Sarah (1995)",2.14285714285714,1.66666666666667,2.5,3,1,7
"765","Jackal, The (1997)",3.14942528735632,3.15,3.14814814814815,3,3.5,174
"766","Jackie Brown (1997)",3.64285714285714,3.71844660194175,3.30434782608696,4,4,252
"767","Jackie Chan's First Strike (1996)",3.2551724137931,3.31404958677686,2.95833333333333,3,3,145
"768","Jade (1995)",2.29411764705882,2.15384615384615,2.75,3,2,17
"769","James and the Giant Peach (1996)",3.12698412698413,3.18681318681319,2.97142857142857,3.5,3,378
"770","Jane Eyre (1996)",3.47619047619048,3.05263157894737,4.12,4,3,126
"771","Jason's Lyric (1994)",3,3.16666666666667,2.5,4,3,16
"772","Jaws (1975)",3.775,3.83333333333333,3.578125,4,4,560
"773","Jaws 2 (1978)",2.66666666666667,2.625,2.77777777777778,2.5,3,132
"774","Jaws 3-D (1983)",1.9375,2,1.75,1.5,2,32
"775","Jean de Florette (1986)",4.109375,4.19565217391304,3.88888888888889,4,4,64
"776","Jefferson in Paris (1995)",2,2,2,2.5,NA,5
"777","Jeffrey (1995)",3.52941176470588,3.42105263157895,3.66666666666667,4,4,34
"778","Jerky Boys, The (1994)",2.66666666666667,3.5,1,NA,3,6
"779","Jerry Maguire (1996)",3.7109375,3.70522388059702,3.72413793103448,4,4,768
"780","Jimmy Hollywood (1994)",2.875,2.85714285714286,3,NA,3,8
"781","Jingle All the Way (1996)",2.11111111111111,2.15384615384615,2,2,2.5,54
"782","JLG/JLG - autoportrait de décembre (1994)",1,1,NA,NA,NA,2
"783","Joe's Apartment (1996)",2.24444444444444,2.30555555555556,2,1,2,90
"784","Johnny 100 Pesos (1993)",1.5,1.5,NA,NA,NA,4
"785","Johnny Mnemonic (1995)",2.63414634146341,2.65625,2.55555555555556,2,2,123
"786","Johns (1996)",3,3,NA,NA,NA,1
"787","Journey of August King, The (1995)",2,1,2.33333333333333,4,NA,4
"788","Joy Luck Club, The (1993)",3.66666666666667,3.5,4,4,4,3
"789","Jude (1996)",3,2.85714285714286,3.22222222222222,4,3,23
"790","Judge Dredd (1995)",2.8974358974359,2.90625,2.85714285714286,3,2.5,117
"791","Judgment Night (1993)",2.68,2.73913043478261,2,3,3,25
"792","Jumanji (1995)",3.3125,3.26086956521739,3.44444444444444,3.5,3,480
"793","Jungle Book, The (1994)",3.56470588235294,3.46551724137931,3.77777777777778,4,4,255
"794","Jungle2Jungle (1997)",2.43939393939394,2.31395348837209,2.67391304347826,3,3,264
"795","Junior (1994)",3.02222222222222,2.89655172413793,3.25,3,3,90
"796","Jupiter's Wife (1994)",4,NA,4,NA,NA,1
"797","Jurassic Park (1993)",3.72030651340996,3.75376884422111,3.61290322580645,4,4,783
"798","Juror, The (1996)",2.81707317073171,2.86666666666667,2.68181818181818,3,3,164
"799","Jury Duty (1995)",2,1.71428571428571,2.28571428571429,2,1.5,14
"800","Just Cause (1995)",3.14285714285714,3.04545454545455,3.5,4,3,56
"801","Kalifornia (1993)",3.22033898305085,3.34146341463415,2.94444444444444,3,3,118
"802","Kama Sutra: A Tale of Love (1996)",3.31818181818182,3.30769230769231,3.33333333333333,3,3,22
"803","Kansas City (1996)",2.26086956521739,2.11764705882353,2.66666666666667,3,2,23
"804","Kaspar Hauser (1993)",4.25,4.25,NA,NA,4,8
"805","Kazaam (1996)",1.8,1.83333333333333,1.75,2,3,30
"806","Keys to Tulsa (1997)",2.24,2.38888888888889,1.85714285714286,1,3,25
"807","Kicked in the Head (1997)",2.57142857142857,2.4,3,3,2,14
"808","Kicking and Screaming (1995)",2.92307692307692,3.11111111111111,2.5,3,3,26
"809","Kid in King Arthur's Court, A (1995)",2.72727272727273,2.66666666666667,2.8,3,3,132
"810","Kids (1995)",3.06122448979592,3.14285714285714,2.57142857142857,3,3,49
"811","Kids in the Hall: Brain Candy (1996)",3.07692307692308,3.05172413793103,3.28571428571429,3.5,3,65
"812","Kika (1993)",2,2,NA,NA,NA,2
"813","Killer (Bulletproof Heart) (1994)",2.5,4,1,1,NA,4
"814","Killer: A Journal of Murder (1995)",4,4,NA,NA,NA,2
"815","Killing Fields, The (1984)",4.13223140495868,4.15555555555556,4.06451612903226,4,4,242
"816","Killing Zoe (1994)",3.475,3.51351351351351,3,NA,4,40
"817","Kim (1950)",3.28571428571429,3.66666666666667,1,NA,4,14
"818","King of New York (1990)",1,1,NA,NA,NA,2
"819","King of the Hill (1993)",3.5,3.66666666666667,3,3,NA,4
"820","Kingpin (1996)",3.12962962962963,3.21052631578947,2.75862068965517,2,3,162
"821","Kiss Me, Guido (1997)",3.16129032258065,3.125,3.28571428571429,3.5,4,31
"822","Kiss of Death (1995)",2.85,3.06666666666667,2.2,3,4,60
"823","Kiss the Girls (1997)",3.46153846153846,3.33707865168539,3.66666666666667,4,3,429
"824","Kissed (1996)",3,3.25,2.5,3,3,6
"825","Kolya (1996)",3.99145299145299,3.90361445783133,4.20588235294118,4,4,117
"826","Koyaanisqatsi (1983)",3.49056603773585,3.53488372093023,3.3,3,4,106
"827","Kull the Conqueror (1997)",2.65957446808511,2.52777777777778,3.09090909090909,NA,3,94
"828","Kundun (1997)",3.69047619047619,3.70967741935484,3.63636363636364,4,4,42
"829","L.A. Confidential (1997)",4.16161616161616,4.19909502262443,4.05263157894737,4,4,1188
"830","Lady of Burlesque (1943)",4,4,NA,NA,4,2
"831","Ladybird Ladybird (1994)",2.75,3.5,2,3,3.5,4
"832","Lamerica (1994)",3.75,4,3.5,3.5,4,4
"833","Land and Freedom (Tierra y libertad) (1995)",3,NA,3,3,NA,1
"834","Land Before Time III: The Time of the Great Giving (1995) (V)",1.66666666666667,2,1,NA,2.5,12
"835","Larger Than Life (1996)",2.33333333333333,2.42857142857143,2,3,3,9
"836","Lashou shentan (1992)",1,NA,1,NA,NA,3
"837","Lassie (1994)",2.28571428571429,2,2.66666666666667,NA,3,14
"838","Last Action Hero (1993)",2.74576271186441,2.72549019607843,2.875,3.5,3,118
"839","Last Dance (1996)",3.11111111111111,2.83333333333333,3.66666666666667,5,2.5,9
"840","Last Klezmer: Leopold Kozlowski, His Life and Music, The (1995)",3,2.66666666666667,4,4,3.5,4
"841","Last Man Standing (1996)",2.66037735849057,2.67391304347826,2.57142857142857,2,3,159
"842","Last of the Mohicans, The (1992)",3.546875,3.57142857142857,3.46666666666667,4,3,384
"843","Last Summer in the Hamptons (1995)",2.33333333333333,3,2,2,3,6
"844","Last Supper, The (1995)",3.44827586206897,3.42222222222222,3.53846153846154,3,3,116
"845","Last Time I Committed Suicide, The (1997)",2.28571428571429,2.6,1.5,NA,3,7
"846","Last Time I Saw Paris, The (1954)",3.66666666666667,3.66666666666667,NA,NA,4,3
"847","Late Bloomers (1996)",3.4,3.5,3,NA,5,5
"848","Laura (1944)",4.1,4.16666666666667,3.9,4,4,120
"849","Lawnmower Man 2: Beyond Cyberspace (1996)",1.71428571428571,1.66666666666667,1.83333333333333,2,1,42
"850","Lawnmower Man, The (1992)",2.44615384615385,2.47916666666667,2.35294117647059,2.5,3,195
"851","Lawrence of Arabia (1962)",4.23121387283237,4.30496453900709,3.90625,4,5,346
"852","Lay of the Land, The (1997)",2.5,1,4,NA,NA,8
"853","Leading Man, The (1996)",3.75,5,2.5,NA,5,4
"854","Leave It to Beaver (1997)",1.84090909090909,1.8,2,2,1,44
"855","Leaving Las Vegas (1995)",3.69798657718121,3.73094170403587,3.6,3.5,4,596
"856","Legal Deceit (1997)",3.4,4.33333333333333,2,3,4.5,5
"857","Legends of the Fall (1994)",3.45679012345679,3.3921568627451,3.56666666666667,4,3,324
"858","Leopard Son, The (1996)",1,1,NA,NA,NA,1
"859","Letter From Death Row, A (1998)",4.33333333333333,5,4,5,NA,6
"860","Liar Liar (1997)",3.15670103092783,3.18023255813953,3.09929078014184,3,3,485
"861","Liebelei (1933)",1,NA,1,NA,NA,1
"862","Life Less Ordinary, A (1997)",3.07547169811321,3.14634146341463,2.83333333333333,3.5,3,106
"863","Life with Mikey (1993)",2.28571428571429,2.2,2.5,2.5,NA,7
"864","Lightning Jack (1994)",3,2.875,3.5,NA,3.5,20
"865","Like Water For Chocolate (Como agua para chocolate) (1992)",3.80405405405405,3.82407407407407,3.75,4,4,296
"866","Line King: Al Hirschfeld, The (1996)",3,3,NA,NA,2,2
"867","Lion King, The (1994)",3.78181818181818,3.72903225806452,3.90769230769231,4,4,660
"868","Little Big League (1994)",2.875,2.33333333333333,3.2,3,3,32
"869","Little Buddha (1993)",3.31818181818182,3.23076923076923,3.44444444444444,3,3,22
"870","Little City (1998)",3.5,5,2,2,5,4
"871","Little Lord Fauntleroy (1936)",3.16666666666667,3,4,4,3,12
"872","Little Odessa (1994)",2.6,2.5,2.75,3,3,10
"873","Little Princess, A (1995)",3.65853658536585,3.95238095238095,3.35,4,4,82
"874","Little Princess, The (1939)",3.55555555555556,4.66666666666667,3,3,4.5,18
"875","Little Rascals, The (1994)",2.72222222222222,2.71428571428571,2.72727272727273,3,3,36
"876","Little Women (1994)",3.67647058823529,3.4375,3.88888888888889,4,4,102
"877","Live Nude Girls (1995)",3.08695652173913,3.14285714285714,2.5,2.5,3.5,23
"878","Living in Oblivion (1995)",3.74074074074074,4,3,4,4,27
"879","Loaded (1994)",2.4,2.4,NA,NA,NA,10
"880","Local Hero (1983)",3.96825396825397,3.90697674418605,4.1,5,4,63
"881","Loch Ness (1995)",2.5,1,4,4,1,8
"882","Locusts, The (1997)",2,1.75,3,NA,1,5
"883","Lone Star (1996)",4.05347593582888,4.0354609929078,4.10869565217391,4,4,374
"884","Long Kiss Goodnight, The (1996)",3.47027027027027,3.47142857142857,3.46666666666667,4,4,370
"885","Looking for Richard (1996)",3.72727272727273,3.7,3.8,4,4,110
"886","Lord of Illusions (1995)",2.41666666666667,2.38095238095238,2.66666666666667,NA,2,24
"887","Losing Chase (1996)",3.25,3.4,3,3,3,8
"888","Losing Isaiah (1995)",3,3,3,3,3,12
"889","Lost Highway (1997)",3.136,3.1734693877551,3,3,3,125
"890","Lost Horizon (1937)",3.94117647058824,3.92307692307692,4,4,4,34
"891","Lost in Space (1998)",3.16666666666667,3.30769230769231,2.8,2.5,2,54
"892","Lost World: Jurassic Park, The (1997)",2.94303797468354,2.90833333333333,3.05263157894737,3,3,632
"893","Lotto Land (1995)",1,1,NA,NA,NA,1
"894","Love & Human Remains (1993)",3.16666666666667,3.625,2.25,3.5,4,12
"895","Love Affair (1994)",2.83333333333333,3,2.71428571428571,2.5,3,24
"896","Love and a .45 (1994)",3.125,3.5,2.75,NA,3,8
"897","Love and Death on Long Island (1997)",2.5,1,4,4,1,2
"898","Love and Other Catastrophes (1996)",2.85714285714286,2.8,3,3,3,7
"899","Love Bug, The (1969)",2.78,2.81081081081081,2.69230769230769,3,3,100
"900","Love in the Afternoon (1957)",3.9,4,3.83333333333333,4,4,20
"901","Love Is All There Is (1996)",3,3,NA,NA,3,2
"902","Love Jones (1997)",3.0952380952381,3.08333333333333,3.11111111111111,3,3,42
"903","Love Serenade (1996)",3,5,2.33333333333333,2.5,5,4
"904","Love! Valour! Compassion! (1997)",3.61538461538462,3.61111111111111,3.625,4,4,52
"905","Lover's Knot (1996)",2,1.5,3,3,NA,3
"906","Low Down Dirty Shame, A (1994)",2.5,2.625,2,NA,2.5,20
"907","Low Life, The (1994)",1,1,NA,NA,NA,1
"908","M (1931)",4,4.13513513513514,3.28571428571429,4,4,132
"909","M. Butterfly (1993)",3.22222222222222,3.18181818181818,3.28571428571429,3,3.5,18
"910","M*A*S*H (1970)",3.9126213592233,3.93037974683544,3.85416666666667,4,4,412
"911","Ma vie en rose (My Life in Pink) (1997)",3.45,3.36363636363636,3.55555555555556,5,3,40
"912","Machine, The (1994)",1.5,1.5,NA,NA,NA,4
"913","Mad City (1997)",3.25531914893617,3.12121212121212,3.57142857142857,3.5,3,94
"914","Mad Dog Time (1996)",3,3,NA,NA,NA,1
"915","Mad Love (1995)",2.15384615384615,2,2.28571428571429,2,3,26
"916","Madame Butterfly (1995)",3.57142857142857,3.4,4,NA,3,7
"917","Made in America (1993)",2.51851851851852,2.41176470588235,2.7,3,2.5,27
"918","Madness of King George, The (1994)",3.76923076923077,3.82352941176471,3.60869565217391,4,4,91
"919","Madonna: Truth or Dare (1991)",2.47058823529412,2.36363636363636,2.66666666666667,2.5,3,17
"920","Magic Hour, The (1998)",3.6,4.25,1,NA,4,5
"921","Magnificent Seven, The (1954)",3.94214876033058,4.01980198019802,3.55,4,4,363
"922","Major Payne (1994)",2.47368421052632,2.42857142857143,2.6,NA,3,19
"923","Malice (1993)",3.17391304347826,3.16666666666667,3.2,3.5,4,46
"924","Mallrats (1995)",3.44444444444444,3.525,3.21428571428571,3,2.5,54
"925","Maltese Falcon, The (1941)",4.21014492753623,4.2952380952381,3.93939393939394,4,4,276
"926","Mamma Roma (1962)",4,4,NA,NA,4,1
"927","Man from Down Under, The (1943)",1,NA,1,NA,NA,1
"928","Man in the Iron Mask, The (1998)",3.41666666666667,3.44444444444444,3.33333333333333,3,3,36
"929","Man of No Importance, A (1994)",3.42857142857143,3.6,3,NA,3,7
"930","Man of the House (1995)",2.11111111111111,2.14285714285714,2,NA,3,9
"931","Man of the Year (1995)",3.11111111111111,3,3.33333333333333,3,4,9
"932","Man Who Knew Too Little, The (1997)",2.92307692307692,2.97619047619048,2.7,4,3,104
"933","Man Who Would Be King, The (1975)",4.025,4.11940298507463,3.53846153846154,4,4,80
"934","Man Without a Face, The (1993)",3.54411764705882,3.35555555555556,3.91304347826087,4,3,68
"935","Manchurian Candidate, The (1962)",4.25954198473282,4.25,4.30434782608696,4,4,262
"936","Manhattan (1979)",3.76923076923077,3.80882352941176,3.65217391304348,4,4,273
"937","Manhattan Murder Mystery (1993)",3.62962962962963,3.72727272727273,3.2,4,4,54
"938","Manny & Lo (1996)",3.15384615384615,3.2,3.125,3,4,13
"939","Manon of the Spring (Manon des sources) (1986)",4.12068965517241,4.14634146341463,4.05882352941176,4,4,58
"940","Margaret's Museum (1995)",4,3.5,4.25,3,3,6
"941","Mark of Zorro, The (1940)",3.61538461538462,3.5,4,3,4,13
"942","Marked for Death (1990)",2.5,2.55,2,3,3,44
"943","Marlene Dietrich: Shadow and Light (1996) ",5,5,NA,NA,5,1
"944","Mars Attacks! (1996)",2.84792626728111,2.86705202312139,2.77272727272727,3,3,868
"945","Marvin's Room (1996)",3.58974358974359,3.52083333333333,3.7,4,4,78
"946","Mary Poppins (1964)",3.7247191011236,3.69421487603306,3.78947368421053,4,4,534
"947","Mary Reilly (1996)",2.82051282051282,2.45833333333333,3.4,3,2.5,78
"948","Mary Shelley's Frankenstein (1994)",3.06779661016949,2.93333333333333,3.5,4,3,118
"949","Mask, The (1994)",3.1937984496124,3.16504854368932,3.30769230769231,3,3,387
"950","Mat' i syn (1997)",1,1,NA,NA,NA,1
"951","MatchMaker, The (1997)",3.17647058823529,2.93939393939394,3.61111111111111,4,3,102
"952","Matilda (1996)",3.21052631578947,3.17391304347826,3.30769230769231,4,3,190
"953","Maverick (1994)",3.46875,3.44,3.57142857142857,4,3,384
"954","Maximum Risk (1996)",2.8,2.78947368421053,3,3,3,60
"955","Maya Lin: A Strong Clear Vision (1994)",4.5,4.33333333333333,5,NA,4,4
"956","Maybe, Maybe Not (Bewegte Mann, Der) (1994)",3.5,3.5,NA,NA,4,8
"957","McHale's Navy (1997)",2.18840579710145,2.14035087719298,2.41666666666667,2,2,138
"958","Mediterraneo (1991)",3.67647058823529,3.78571428571429,3.16666666666667,4,4,68
"959","Meet John Doe (1941)",3.92,3.90909090909091,4,4,4,25
"960","Meet Me in St. Louis (1944)",3.35483870967742,3.31818181818182,3.44444444444444,3,4,31
"961","Meet Wally Sparks (1997)",2.14285714285714,2.16666666666667,2,NA,3,7
"962","Men in Black (1997)",3.74587458745875,3.78026905829596,3.65,4,4,1212
"963","Men of Means (1998)",2,NA,2,NA,NA,4
"964","Men With Guns (1997)",3.5,4,3,3,NA,4
"965","Menace II Society (1993)",3.46,3.53658536585366,3.11111111111111,3,4,150
"966","Mercury Rising (1998)",3.42857142857143,3.6,3,NA,4,21
"967","Metisse (Café au Lait) (1993)",2.33333333333333,2.4,2,2,3,6
"968","Metro (1997)",2.91666666666667,2.96774193548387,2.6,1,3,36
"969","Miami Rhapsody (1995)",2.6,2.90909090909091,1.75,2,3,15
"970","Michael (1996)",3.31932773109244,3.11842105263158,3.67441860465116,4,3,238
"971","Michael Collins (1996)",3.45652173913043,3.50769230769231,3.33333333333333,3,3.5,184
"972","Microcosmos: Le peuple de l'herbe (1996)",3.75,3.81818181818182,3,3,4,24
"973","Midnight Dancers (Sibak) (1994)",2.8,2.8,NA,NA,3,10
"974","Midnight in the Garden of Good and Evil (1997)",3.1625,3.03846153846154,3.39285714285714,3,3,320
"975","Mighty Aphrodite (1995)",3.41847826086957,3.47727272727273,3.26923076923077,3,4,184
"976","Mighty Morphin Power Rangers: The Movie (1995)",2.27272727272727,2.42857142857143,2,3,1,22
"977","Mighty, The (1998)",1,1,1,NA,1,3
"978","Milk Money (1994)",2.72972972972973,2.5,3.15384615384615,3.5,3,74
"979","Mille bolle blu (1993)",1,1,NA,NA,NA,1
"980","Miller's Crossing (1990)",3.65168539325843,3.72058823529412,3.42857142857143,4,4,89
"981","Mimic (1997)",2.74257425742574,2.83132530120482,2.33333333333333,3,3,202
"982","Mina Tannenbaum (1994)",3.66666666666667,3,5,5,3,6
"983","Miracle on 34th Street (1994)",3.72277227722772,3.73015873015873,3.71052631578947,4,4,101
"984","Mirage (1995)",3,NA,3,3,NA,2
"985","Mirror Has Two Faces, The (1996)",3.36363636363636,2.92592592592593,3.66666666666667,3,3,132
"986","Mission: Impossible (1996)",3.31395348837209,3.26315789473684,3.48717948717949,3,3,1032
"987","Misérables, Les (1995)",3.61904761904762,3.8,3.16666666666667,3.5,4,42
"988","Mixed Nuts (1994)",2.53333333333333,2.27272727272727,3.25,4,2.5,15
"989","Modern Affair, A (1995)",1,1,NA,NA,1,1
"990","Moll Flanders (1996)",3.5,3.04,4.17647058823529,4,3,42
"991","Mondo (1996)",3,3,3,NA,5,3
"992","Money Talks (1997)",2.87012987012987,2.72916666666667,3.10344827586207,3,2,154
"993","Money Train (1995)",2.51162790697674,2.48648648648649,2.66666666666667,3,3,43
"994","Month by the Lake, A (1995)",3.33333333333333,3.66666666666667,2.66666666666667,3,4,18
"995","Monty Python and the Holy Grail (1974)",4.06645569620253,4.12,3.86363636363636,4,4,316
"996","Monty Python's Life of Brian (1979)",3.74712643678161,3.80451127819549,3.5609756097561,3,4,174
"997","Moonlight and Valentino (1995)",2.57142857142857,2.66666666666667,2.5,3,3,14
"998","Mortal Kombat (1995)",2.87755102040816,2.83333333333333,3.14285714285714,4,2,98
"999","Mortal Kombat: Annihilation (1997)",1.95348837209302,1.97058823529412,1.88888888888889,1.5,1.5,86
"1000","Mostro, Il (1994)",1,1,NA,NA,1,1
"1001","Mother (1996)",3.1301775147929,3.17857142857143,3.03508771929825,3,3,169
"1002","Mother Night (1996)",3.18181818181818,3.23529411764706,3,2,3,22
"1003","Mouse Hunt (1997)",2.47727272727273,2.45714285714286,2.55555555555556,3,2,88
"1004","Mr. Holland's Opus (1995)",3.77815699658703,3.70149253731343,3.94565217391304,4,4,293
"1005","Mr. Jones (1993)",2.5,3,2,2,3,4
"1006","Mr. Magoo (1997)",1.91666666666667,1.875,2,4,1,12
"1007","Mr. Smith Goes to Washington (1939)",4.12380952380952,4.15,4.04,5,4,105
"1008","Mr. Wonderful (1993)",3,3,3,3,3,8
"1009","Mr. Wrong (1996)",2.30434782608696,1.9,2.61538461538462,2,1,23
"1010","Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",3.94791666666667,3.81538461538462,4.2258064516129,4,4,192
"1011","Mrs. Dalloway (1997)",3.6,3.5,3.71428571428571,5,3,15
"1012","Mrs. Doubtfire (1993)",3.41145833333333,3.35971223021583,3.54716981132075,3.5,4,192
"1013","Mrs. Parker and the Vicious Circle (1994)",3.27272727272727,3.42857142857143,3,4,3,22
"1014","Mrs. Winterbourne (1996)",3.04545454545455,2.88888888888889,3.15384615384615,3,3,44
"1015","Much Ado About Nothing (1993)",4.0625,3.91735537190083,4.38181818181818,4,4,352
"1016","Mulholland Falls (1996)",2.8780487804878,2.91176470588235,2.71428571428571,3,3,246
"1017","Multiplicity (1996)",2.83582089552239,2.81730769230769,2.9,2.5,3,134
"1018","Muppet Treasure Island (1996)",2.76190476190476,2.61290322580645,3.18181818181818,3.5,3,420
"1019","MURDER and murder (1996)",2,NA,2,NA,NA,3
"1020","Murder at 1600 (1997)",3.08715596330275,3.07692307692308,3.11290322580645,3,3,436
"1021","Murder in the First (1995)",3.6,3.54761904761905,3.72222222222222,4,4,120
"1022","Murder, My Sweet (1944)",3.55555555555556,3.625,3,3,4,18
"1023","Muriel's Wedding (1994)",3.55,3.55737704918033,3.53846153846154,3,4,200
"1024","Mute Witness (1994)",2.94117647058824,3.25,2.2,3,3,17
"1025","My Best Friend's Wedding (1997)",3.36046511627907,3.34513274336283,3.38983050847458,3,3,344
"1026","My Crazy Life (Mi vida loca) (1993)",3.18181818181818,3.28571428571429,3,4,4,11
"1027","My Fair Lady (1964)",3.816,3.60240963855422,4.23809523809524,5,4,250
"1028","My Family (1995)",3.66666666666667,3.54545454545455,3.8,4,4,21
"1029","My Favorite Season (1993)",3.66666666666667,4,3,3,4,3
"1030","My Favorite Year (1982)",3.53225806451613,3.57777777777778,3.41176470588235,3,4,62
"1031","My Fellow Americans (1996)",3.16279069767442,3.15625,3.18181818181818,3,3,86
"1032","My Left Foot (1989)",3.85123966942149,3.86046511627907,3.82857142857143,4,4,121
"1033","My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud) (1993)",2,2,NA,NA,3,2
"1034","My Life as a Dog (Mitt liv som hund) (1985)",3.97849462365591,3.97222222222222,4,4,4,93
"1035","My Man Godfrey (1936)",4.03703703703704,4.04761904761905,4,4,4,27
"1036","My Own Private Idaho (1991)",3.63333333333333,3.63157894736842,3.63636363636364,3.5,4,30
